sample,strategy,imputation,upstream,rmse_test,best_st_rmse,abs_gain,pct_gain,positive_gain
20,LH-E2E,Ground Truth,2,0.8619030117988586,1.9409770965576172,1.0790740847587585,0.555943749502521,True
20,LH-E2E,Ground Truth,2,0.8619030117988586,1.0606045722961426,0.19870156049728394,0.18734744850958684,True
20,LH-E2E,Ground Truth,2,0.8619030117988586,0.9655410051345825,0.10363799333572388,0.10733670842004088,True
20,LH-E2E,Ground Truth,2,0.8619030117988586,1.0006365776062012,0.13873356580734253,0.13864530730950442,True
50,MLP,Ground Truth,2,0.8277116417884827,0.8444769382476807,0.016765296459197998,0.019852876614945315,True
50,MLP,Ground Truth,2,0.8277116417884827,1.117909550666809,0.2901979088783264,0.25958979302505253,True
50,MLP,Ground Truth,2,0.8277116417884827,0.7727535367012024,-0.05495810508728027,-0.07111983637356126,False
50,MLP,Ground Truth,2,0.8277116417884827,0.617089033126831,-0.2106226086616516,-0.34131640226113386,False
50,MLP,Ground Truth,2,0.8277116417884827,1.1898791790008545,0.3621675372123718,0.30437337135059805,True
50,MLP,Ground Truth,2,0.8277116417884827,0.9914901852607727,0.16377854347229004,0.16518423067316043,True
50,MLP,Ground Truth,2,0.8277116417884827,0.945641279220581,0.11792963743209839,0.1247086395480733,True
50,MLP,Ground Truth,2,0.8277116417884827,0.9628651738166809,0.13515353202819824,0.14036599900323118,True
50,MLP,Ground Truth,2,0.8277116417884827,1.4177850484848022,0.5900734066963196,0.416193842167355,True
50,MLP,Ground Truth,2,0.8277116417884827,0.8602569699287415,0.03254532814025879,0.03783210049777876,True
50,MLP,Ground Truth,2,0.8277116417884827,0.9823646545410156,0.15465301275253296,0.15742933343300158,True
50,MLP,Ground Truth,2,0.8277116417884827,0.8565356135368347,0.02882397174835205,0.03365180769230502,True
50,MLP-E2E,Ground Truth,2,1.5932178497314453,0.8444769382476807,-0.7487409114837646,-0.8866327516739869,False
50,MLP-E2E,Ground Truth,2,1.5932178497314453,1.117909550666809,-0.47530829906463623,-0.4251759892212434,False
50,MLP-E2E,Ground Truth,2,1.5932178497314453,0.7727535367012024,-0.8204643130302429,-1.0617412590988744,False
50,MLP-E2E,Ground Truth,2,1.5932178497314453,0.617089033126831,-0.9761288166046143,-1.5818281709828885,False
50,MLP-E2E,Ground Truth,2,1.5932178497314453,1.1898791790008545,-0.4033386707305908,-0.3389744756011914,False
50,MLP-E2E,Ground Truth,2,1.5932178497314453,0.9914901852607727,-0.6017276644706726,-0.6068922046993452,False
50,MLP-E2E,Ground Truth,2,1.5932178497314453,0.945641279220581,-0.6475765705108643,-0.6848015042708494,False
50,MLP-E2E,Ground Truth,2,1.5932178497314453,0.9628651738166809,-0.6303526759147644,-0.6546634908562772,False
50,MLP-E2E,Ground Truth,2,1.5932178497314453,1.4177850484848022,-0.17543280124664307,-0.1237372346634135,False
50,MLP-E2E,Ground Truth,2,1.5932178497314453,0.8602569699287415,-0.7329608798027039,-0.8520255056618931,False
50,MLP-E2E,Ground Truth,2,1.5932178497314453,0.9823646545410156,-0.6108531951904297,-0.6218191914445812,False
50,MLP-E2E,Ground Truth,2,1.5932178497314453,0.8565356135368347,-0.7366822361946106,-0.8600719276022608,False
50,LH,Ground Truth,2,0.8163279891014099,0.8444769382476807,0.028148949146270752,0.03333299924646943,True
50,LH,Ground Truth,2,0.8163279891014099,1.117909550666809,0.30158156156539917,0.2697727748953502,True
50,LH,Ground Truth,2,0.8163279891014099,0.7727535367012024,-0.04357445240020752,-0.05638855124005247,False
50,LH,Ground Truth,2,0.8163279891014099,0.617089033126831,-0.19923895597457886,-0.32286905985838354,False
50,LH,Ground Truth,2,0.8163279891014099,1.1898791790008545,0.3735511898994446,0.31394043739223737,True
50,LH,Ground Truth,2,0.8163279891014099,0.9914901852607727,0.1751621961593628,0.17666558758046932,True
50,LH,Ground Truth,2,0.8163279891014099,0.945641279220581,0.12931329011917114,0.1367466638361579,True
50,LH,Ground Truth,2,0.8163279891014099,0.9628651738166809,0.146537184715271,0.15218868508289207,True
50,LH,Ground Truth,2,0.8163279891014099,1.4177850484848022,0.6014570593833923,0.4242230231064816,True
50,LH,Ground Truth,2,0.8163279891014099,0.8602569699287415,0.04392898082733154,0.051064951942174155,True
50,LH,Ground Truth,2,0.8163279891014099,0.9823646545410156,0.1660366654396057,0.16901734470198546,True
50,LH,Ground Truth,2,0.8163279891014099,0.8565356135368347,0.040207624435424805,0.046942151382822456,True
50,LH-E2E,Ground Truth,2,0.8832210302352905,0.8444769382476807,-0.03874409198760986,-0.04587939614787494,False
50,LH-E2E,Ground Truth,2,0.8832210302352905,1.117909550666809,0.23468852043151855,0.2099351600418226,True
50,LH-E2E,Ground Truth,2,0.8832210302352905,0.7727535367012024,-0.11046749353408813,-0.14295307402365492,False
50,LH-E2E,Ground Truth,2,0.8832210302352905,0.617089033126831,-0.2661319971084595,-0.4312700158678092,False
