feature,importance_global,importance_mean,importance_median,importance_variance
Mor05m,0.09473294462360737,0.20601723218142903,0.21585070626675312,0.009355357756584238
GATS4c,0.09472677286055342,0.2503524723719757,0.247904060599403,0.013588466900936326
SsF,0.09469976792425872,0.10122838996271123,0.09669027010185038,0.004784702833737787
GATS2d,0.09469397226578158,0.2134137892480948,0.20655542586976502,0.012741622957207216
AATSC5are,0.09454388229111732,0.20640006487081827,0.19348436777247077,0.013768559438550182
MATS8pe,0.09453372187400433,0.1607728199045595,0.1545548463432844,0.010373122875021111
SMR_VSA6,0.09446194158907062,0.2242716161554461,0.21803660166232308,0.010757527857796132
MATS1c,0.09421193801830396,0.278124771144532,0.28151210195429527,0.010250415942855324
ETA_psi_1,0.09387465689361019,0.18847494408222526,0.19661313347460732,0.009861907865409686
MATS2c,0.09332636835315,0.22117964454321432,0.20636996575565758,0.013801947505772577
VE3_A,0.09313732929754481,0.18295924373380265,0.1839336941989521,0.009523765232912687
PNSA5,0.09292921194552761,0.17775007781413202,0.16305905477096053,0.011191105127828388
ETA_dPsi_A,0.09252885912677833,0.18849997797985543,0.19563138016757925,0.010033258469041347
Mor04p,0.09247967713599925,0.1915257028132537,0.20126946724273895,0.010189966697854023
MATS1pe,0.09237130460672383,0.18113425588745438,0.177859332406183,0.010896350308202579
AMID_X,0.09217121431311881,0.15101996353036243,0.16416385691931804,0.005547175623975956
GATS5i,0.09215137374904492,0.17424615176511887,0.17182427374387207,0.013601629805101219
Mor32p,0.09203332896441108,0.20236097420042437,0.19561850506351666,0.01081264480397511
MATS5are,0.0917981182831773,0.21899802104568292,0.20893865078760337,0.010622671141965658
IC2,0.09179431162362262,0.21901962045006362,0.20430285069390058,0.012299412124962935
ETA_epsilon_5,0.09171470741087573,0.17102240433554924,0.18490559815130064,0.010441653506446753
DPSA2,0.09157552568539629,0.18507967967407377,0.17464866359527667,0.011760642733414648
Xp-4d,0.09144411986849521,0.17993303677772812,0.1859470664862419,0.010299126826381259
ZMIC3,0.0913453238099109,0.18507996023412715,0.19002977273779548,0.011332538073394986
AATS3p,0.09126399246253758,0.21422152547007314,0.21158051324958277,0.008186672183995889
MATS8p,0.09113937087155266,0.16193554792220635,0.16227237366148725,0.008781708125372274
BIC5,0.09109788275447661,0.21421075584978916,0.21280142688372553,0.01219943342243973
Mor13se,0.09094622826320808,0.18770716581895036,0.1915507986929829,0.010581572054213527
Silicos-IT_Log_P,0.09053440565297333,0.14923333171811892,0.14969715962719612,0.00923089183837068
Xp-2d,0.09049165025262784,0.14398754312085416,0.1494010763745723,0.009496600927825286
ATSC7dv,0.09032038577208068,0.17463677455702128,0.1658598540296869,0.011393247272742489
EState_VSA5,0.0901488619583306,0.1425267656971691,0.13871279183803414,0.011152227658879969
GATS3dv,0.08997297930460091,0.16292450857655857,0.16145812235245918,0.012760994491453785
GATS7i,0.08943439553177335,0.18781852206835262,0.17966205807685878,0.013214693700964295
PPSA3,0.08922349171420674,0.24548986140193746,0.23463121794240502,0.01287368707235349
Xp-7dv,0.08912622256323699,0.2433413594694374,0.2373921106259536,0.010220221822788488
Mor03m,0.08890425347504438,0.17271445968688118,0.16564130481187814,0.009421500117280001
GATS6v,0.08871739466036033,0.20944551399414768,0.19822877660778213,0.00988552002614269
AATSC0dv,0.08861430972291195,0.17645838862240626,0.17234927614082657,0.01072683596985679
AATS4s,0.08853189655452542,0.16962507929072912,0.17522557597099267,0.01009785191073693
AATSC5i,0.08832483714638961,0.1780184084739506,0.17625835901384504,0.012898005291321447
ATSC1dv,0.08808251780755993,0.2253829866670399,0.2153771702346969,0.012330599056501645
ATSC5v,0.08758954039496247,0.20175352611600378,0.20075435541480516,0.01303587882742391
Mor18m,0.0875032435509775,0.19283172734927445,0.18619094100183523,0.01099377398162687
ATSC5se,0.08726680961333066,0.21335366976906348,0.21354014952975797,0.012502896248315666
ATSC3p,0.08719295549531036,0.21344872251769825,0.19605860615450782,0.014968639682624624
ETA_eta,0.0871902273533034,0.2139023025586522,0.21621801495091508,0.011101907089864872
AATSC6i,0.0869632823812787,0.2151678065398984,0.21544456950662078,0.009018143475088407
MID_O,0.0868157688228468,0.11407200939000127,0.11451057300315813,0.006488900832127339
GATS7c,0.08661203125373707,0.2580133940362617,0.24418988615598647,0.012991363620681996
GATS2dv,0.08611772699928233,0.13255647658676767,0.1239368221435496,0.010501833529124777
AATS3d,0.08598787335387037,0.25502151482742685,0.23969856794097183,0.013403534613151389
GGI8,0.08563268519845568,0.17473131822034957,0.1673595240448535,0.011734618246447451
VSA_EState5,0.08556882405602284,0.16076613533367254,0.15636034728330603,0.010351624808303803
ATS8v,0.08519158295037821,0.1805511727754511,0.17762400878668844,0.00842132912547464
AETA_eta_R,0.08512561785792538,0.1551612359226507,0.15384730763170343,0.008651838286952835
AATSC5s,0.08507759136043047,0.12643674858246928,0.12750322829786198,0.008695520071764275
AATS4are,0.08496252248215841,0.18466101546158212,0.1862584669545693,0.010742234126456883
EState_VSA10,0.08477965327946135,0.12731260131618738,0.13598633365694585,0.005895894769093362
ATSC5c,0.08440355440293468,0.2324122074142887,0.22180997245640094,0.0139011872436398
fMF,0.08426542400915915,0.131648359244369,0.13178884443157046,0.008406322476814176
VSA_EState6,0.08413525686641776,0.19564066729944907,0.1967109421882655,0.01018571500038485
JGI4,0.08411126515665401,0.20827888161976751,0.2061990394130919,0.009342002174194978
SpMAD_D,0.08390529186507889,0.21903987849281276,0.20280600397193252,0.011562610671624642
ATS0dv,0.08384613888305514,0.20093952647342084,0.19881406225069087,0.00951545599697624
ATSC8c,0.08377654620065478,0.17791627548251462,0.17661735030986175,0.013042970712154727
Mor18p,0.08365826707478519,0.23624786319165464,0.22882981914447087,0.011953641772910062
PEOE_VSA5,0.08363056841795324,0.20346192825662476,0.19797841636422459,0.00563052037052522
ETA_epsilon_2,0.08328617168137065,0.2149889162863199,0.1992505291365911,0.01288215226252204
AATSC2i,0.08311152273501854,0.14217200749035697,0.14291728843302465,0.011380779926806788
Xpc-5dv,0.08289311736380967,0.22765998015627273,0.22400032486370053,0.010510687775753532
AATS2s,0.08281606317119605,0.15853278737116783,0.16339194063457246,0.009269509049030764
ATS3p,0.08273581032337507,0.19744482691571094,0.19156748543898774,0.013291047343818177
Mor18v,0.08265056060913256,0.19004063256149645,0.1826678364720376,0.009826138896228707
AATS2dv,0.08237934349942044,0.19264398757830994,0.1912140461459976,0.008825333854422817
Mor21m,0.08211591708188637,0.17319280605042608,0.16520661126771954,0.012235250638697326
AATS5i,0.08189848435691394,0.1547557863547391,0.14761647379895,0.010933219612845449
MATS5p,0.08173382859036371,0.20634963662076627,0.19216533738262725,0.00948016509897133
BIC4,0.08127083317741768,0.20944790571990968,0.20584922202729108,0.011834010663929216
GATS4p,0.08115240077877006,0.17004267941984239,0.1682615426653632,0.00814525391667276
NaasC,0.08114413137123044,0.15579735401282432,0.15617767358132592,0.010720257148297987
ATS5s,0.08086922956096965,0.1720386578950815,0.18296057530788307,0.011678020585058109
JGI2,0.08076945789478174,0.23459791018405038,0.2288193151893015,0.00862599205004128
AATS2p,0.08061430319069984,0.14694850464148157,0.14514774093966695,0.008387064238815762
GATS8v,0.08034419690384631,0.19670774201943877,0.18778348230206016,0.011615420481847525
AATSC6p,0.08033880138669591,0.19637970385683515,0.18441441246300724,0.011740546700445368
MATS5se,0.08002931599616936,0.21295079910838163,0.20524407740269746,0.012654522204221103
Diameter,0.07986278471549291,0.19278505098416057,0.18611286625546172,0.009543653517397003
Ali_Log_S,0.07978439187994146,0.1648936518499405,0.16792702947541766,0.010840131781262028
ATS4dv,0.07961250263792952,0.16322739964877578,0.1694799391141128,0.010302459759548114
SdO,0.0795912644885084,0.11092301855444327,0.11915914684591551,0.005760073425663487
GATS2i,0.0788973653471916,0.13544633976251724,0.12538383403274606,0.009276149874434505
ATS1s,0.07870148602908422,0.14706387482064284,0.15650129504554094,0.008374205383321098
ATSC0v,0.07857842493425737,0.19498299422750967,0.1815245201174893,0.014346025983667281
ETA_beta_s,0.07852141355491993,0.17290619322792475,0.16166606080227525,0.009628554964244945
WLOGP,0.0785199387523754,0.19388113110228403,0.1951392528216889,0.008748595903035184
AATS5s,0.07849356529781426,0.15776312985058027,0.16364118639895503,0.01004280255632321
Mor10m,0.07846244625946852,0.10839917335021618,0.12199755425124639,0.006737256400148094
